gvkey,year,name,ebit,mkvalt,sic,capx,ni,ibc,dp,at,dltt,dlc,seq,xrd,icapt,sale,sic2
1449,2019,AFLAC INC,4735,38447.3497,6321,0,3304,3304,40,152768,6565,4,28959,,35524,22369,63
1487,2019,AMERICAN INTERNATIONAL GROUP,,44657.0487,6331,,,,,525064,36083,3500,65675,,103725,,63
1487,2019,AMERICAN INTERNATIONAL GROUP,6617,44657.0487,6331,0,3348,4121,5006,525064,36083,3500,65675,,103510,49310,63
1507,2019,VANECK VECTORS EMG MKT HIGH,,,6722,,,,,,,,,,,,67
1526,2019,AMERICAN NATIONAL GROUP INC,,3164.0622,6311,,,,53.16,28597.566,157.997,,5989.749,,6548.288,,63
1526,2019,AMERICAN NATIONAL GROUP INC,694.377,3164.0622,6311,21.402,620.363,631.777,53.16,28597.566,157.997,0,5989.749,,6153.76,4070.143,63
1545,2019,AMERICAN REALTY INVESTORS,,274.0286,6513,,,,13.379,830.641,419.907,57.452,239.499,,716.423,,65
1545,2019,AMERICAN REALTY INVESTORS,14.547,274.0286,6513,37.152,-15.958,-21.743,13.379,830.641,419.907,57.452,239.499,,716.423,73.925,65
1559,2019,AMERICAN SHARED HSPTL SERV,2.86,14.1935,8090,0.99,0.659,1.43,7.341,53.783,10.958,5.989,26.033,,42.769,20.605,80
1585,2019,AMERICAN VANGUARD CORP,21.601,587.4683,2870,12.985,13.601,13.601,18.643,670.098,155.269,4.904,344.156,8.906,499.425,468.186,28
1598,2019,AMETEK INC,1177.38,22848.7384,3823,102.346,861.297,861.297,234.042,9844.559,2413.912,540.474,5115.492,161.9,7529.404,5158.557,38
1602,2019,AMGEN INC,9721,142568.798,2836,618,7842,7842,2035,59707,27338,3093,9673,4116,37011,23362,28
1613,2019,AMPCO-PITTSBURGH CORP,2.853,38.0825,3460,10.964,-20.986,-10.475,18.967,506.56,54.145,20.975,48.9,2.523,109.761,397.904,34
1632,2019,ANALOG DEVICES,1806.267,39272.0423,3674,275.372,1363.011,1363.011,811.251,21392.641,5192.252,299.667,11709.188,1130.348,16901.44,5991.065,36
1650,2019,ANDREA ELECTRONICS CORP,-0.477,1.4302,3663,0,-0.549,-0.549,0.077,1.289,1.842,0.047,-0.963,0.569,0.879,1.895,36
1659,2019,ANDERSONS INC,81.05,842.911,5150,270.477,18.307,15.06,146.166,3900.741,1067.339,235.63,973.61,,2262.994,8170.191,51
1661,2019,NABORS INDUSTRIES LTD,-76.355,1046.5862,1381,427.741,-702.885,-680.498,876.091,6760.658,3366.616,13.479,1982.811,98.09,5842.173,3043.383,13
1678,2019,APACHE CORP,-2627,9623.4522,1311,2961,-3553,-3682,3555,18107,8752,180,3255,,13772,6280,13
1689,2019,APPALACHIAN POWER,490.2,,4911,862.6,306.3,306.3,466.8,12768.3,4247.2,474.3,4172.4,,8419.6,2924.7,49
1690,2019,APPLE INC,63930,995151.5669,3663,10495,55256,55256,12547,338516,91807,16240,90488,16217,182295,260174,36
1704,2019,APPLIED MATERIALS INC,3372,49702.16,3559,441,2706,2706,363,19024,4713,600,8214,2054,12927,14608,35
1706,2019,ENERPAC TOOL GROUP CORP,76.316,1342.9277,3533,14.923,-249.145,8.067,20.217,1124.274,452.945,7.5,301.179,9.3,754.124,654.758,35
1712,2019,TRECORA RESOURCES,13.289,176.9625,2911,10.079,-14.974,-12.884,16.201,301.819,89.433,7.368,171.154,,260.876,258.959,29
1718,2019,ADVANCED OXYGEN TECHNOLOGY,0.019,0.2637,6512,0,0.008,0.008,0,0.66,0.063,0.144,0.301,,0.364,0.038,65
1722,2019,ARCHER-DANIELS-MIDLAND CO,1671,25816.95,2070,828,1379,1379,992,43997,8453,1424,19208,154,27736,64656,20
1742,2019,ARIZONA PUBLIC SERVICE CO,686.984,,4911,1209.975,565.271,584.764,590.844,18370.723,4883.225,362.549,5876.263,,10882.028,3471.209,49
1743,2019,ARCBEST CORP,84.392,701.2056,4213,102.431,39.985,39.985,112.466,1651.207,318.491,77.57,763.043,,1081.534,2988.31,42
1745,2019,ENTERGY ARKANSAS,326.997,,4911,680.563,262.964,262.964,375.381,11205.633,3566.856,13.885,3125.937,,6692.793,2259.594,49
1773,2019,ARROW ELECTRONICS INC,957.348,6831.7388,5065,143.191,-204.087,-200.168,189.79,16400.796,2891.801,387.699,4811.919,0,7758.194,28916.847,50
1783,2019,ARTS WAY MFG INC,-1.497,7.9161,3523,0.447,-1.42,-1.42,1.004,19.347,2.35,2.664,11.794,0.149,14.144,22.889,35
1790,2019,ASBESTOS CORP LTD,2.132,1.3334,6799,0.025,0.472,0.472,0.015,30.701,25.71,0,-20.273,,5.437,3.22,67
1794,2019,ASHLAND GLOBAL HOLDINGS INC,264,4623,2820,154,505,24,251,7251,1501,166,3571,66,5072,2493,28
1820,2019,ASTRONOVA INC,2.433,87.8513,3577,2.906,1.759,1.759,6.284,116.664,8.994,12.124,71.375,8.084,80.369,133.446,35
1823,2019,ASTRONICS CORP,50.156,868.9951,3640,12.083,52.017,52.017,31.3,782.716,211.839,6.641,388.857,108.9,600.696,772.702,36
1828,2019,ATCO LTD  -CL I,1314,5688.046,4932,1128,513,1007,659,21703,9347,188,4000,,17205,4706,49
1837,2019,SOUTHERN CO GAS,885,,4924,1408,585,585,487,21687,5923,664,9506,,15429,3792,49
1864,2019,REX AMERICAN RESOURCES CORP,-6.773,474.1022,2860,3.776,7.427,11.644,23.007,500.502,10.688,4.935,401.007,,464.294,418.034,28
1878,2019,AUTODESK INC,366.8,43188.89,7370,53.2,214.5,214.5,124.7,6179.3,2046.8,497.8,-139.1,851.1,1907.7,3274.3,73
1891,2019,AUTOMATIC DATA PROCESSING,3080.8,71786.286,7374,162,2292.8,2292.8,409,41887.7,2002.2,264.5,5399.9,636.3,7402.1,14175.2,73
1913,2019,AVERY DENNISON CORP,823.7,10906.0709,2670,219.4,303.6,303.6,174.6,5488.8,1598.2,481.6,1204,92.6,2802.2,7070.1,26
1919,2019,AVNET INC,611.451,4709.8003,5065,122.69,176.337,180.111,180.842,8564.556,1419.922,300.538,4140.473,,5560.395,19518.592,50
1932,2019,BRITISH AMER TOBACCO PLC,13588.345,,2111,879.403,7554.378,7746.416,1307.182,186747.022,50067.618,10015.113,84631.809,166.874,135041.122,34271.499,21
1949,2019,BRT APARTMENTS CORP,0.528,265.3769,6798,0,0.856,1.693,,390.61,167.238,3.04,199.653,0,366.798,28.867,67
1949,2019,BRT APARTMENTS CORP,,265.3769,6798,,,,,390.61,167.238,3.04,199.653,,366.798,,67
1968,2019,BADGER METER INC,62.148,1890.6967,3824,7.496,47.177,47.177,21.869,421.893,,4.48,331.068,11.9,331.068,424.625,38
1979,2019,BALCHEM CORP  -CL B,104.288,3272.6893,2834,28.413,79.671,79.671,45.58,1155.682,253.396,2.475,743.667,11.377,997.063,643.705,28
1982,2019,PROTECTIVE INSURANCE CORP,7.029,229.7491,6331,1.953,7.347,7.347,6.052,1634.36,0.127,20,364.316,,364.443,493.953,63
1982,2019,PROTECTIVE INSURANCE CORP,,229.7491,6331,,,,6.052,1634.36,0.127,20,364.316,,364.443,,63
1988,2019,BALL CORP,1176,20994.1455,3411,598,566,536,678,17360,6518,1538,2949,44,9537,11474,34
2002,2019,POPULAR INC,,5615.9125,6020,,,,67.437,52115.324,1146.637,333.298,6016.779,,7163.416,,60
2002,2019,POPULAR INC,1457.182,5615.9125,6020,75.665,671.135,671.135,67.437,52115.324,1146.637,333.298,6016.779,,7163.416,2830.676,60
2005,2019,BANK OF HAWAII CORP,,3810.2064,6020,,,,17.268,18095.496,118.775,679.306,1286.832,,1405.607,,60
2005,2019,BANK OF HAWAII CORP,368.584,3810.2064,6020,53.9,225.913,225.913,17.268,18095.496,118.775,679.306,1286.832,,1405.607,770.735,60
2019,2019,BANK OF NEW YORK MELLON CORP,,45331.3754,6020,,,,1315,381508,25273,19959,41483,,67001,,60
2019,2019,BANK OF NEW YORK MELLON CORP,7730,45331.3754,6020,1210,4441,4467,1315,381508,25273,19959,41483,,67001,20007,60
2049,2019,BARNES GROUP INC,244.108,3148.9311,3490,53.286,158.35,158.35,99.054,2738.335,846.391,20.509,1270.528,15.666,2116.919,1491.118,34
2052,2019,BARNWELL INDUSTRIES,-12.429,4.3214,1311,2.003,-12.414,-12.417,3.63,18.302,0,0,1.229,,1.329,12.013,13
2055,2019,BARRICK GOLD CORP,3662,33051.6629,1040,1701,3969,4574,2112,44392,5161,375,21432,,34988,9717,10
2080,2019,BASSETT FURNITURE INDS,2.772,153.9655,2511,17.375,-1.928,-1.928,14.723,275.766,0,0,178.67,,178.67,452.087,25
2086,2019,BAXTER INTERNATIONAL INC,1937,42324.6811,2834,696,1001,1011,789,18193,5319,642,7882,595,13231,11362,28
2101,2019,APPLIED INDUSTRIAL TECH INC,267.682,2374.8734,5080,18.97,143.993,143.993,62.119,2331.697,908.85,49.036,897.034,0,1805.884,3472.739,50
2111,2019,BECTON DICKINSON & CO,2894,68407.2139,3841,957,1233,1233,2130,51765,18081,1309,21081,1062,39162,17290,38
2124,2019,BEL FUSE INC,7.942,242.373,3677,9.891,-8.743,-8.743,16.471,468.917,150.478,12.987,168.051,26.925,318.529,492.412,36
2136,2019,VERIZON COMMUNICATIONS INC,30303,253939.8392,4812,17939,19265,19788,16682,291727,119105,14038,61395,,181940,131868,48
2137,2019,BCE INC,5645,54379.1053,4813,3988,3191,3253,4398,60146,22415,3881,21074,109,43823,23964,48
2176,2019,BERKSHIRE HATHAWAY,,,9997,,,,10064,817729,98830,10420,424791,,593216,,99
2176,2019,BERKSHIRE HATHAWAY,105481,,9997,15979,81417,81792,10064,817729,98830,10420,424791,,527393,327223,99
2184,2019,BEST BUY CO INC,2053,21722.4769,5731,743,1541,1541,812,15591,3395,674,3479,0,6874,43638,57
2220,2019,BIO-RAD LABORATORIES INC,254.76,11071.3291,3826,98.532,1758.675,1758.675,134.238,8008.859,189.597,461.537,5755.057,202.71,5944.654,2311.659,38
2240,2019,NON INVASIVE MONITOR,-0.446,14.707,3845,0,-1.615,-1.605,0,0.361,0,0,0.081,,0.081,0,38
2259,2019,BLACK HILLS CORP,406.042,4828.4036,4911,818.376,199.31,213.322,209.12,7558.457,3144.281,356.531,2362.123,,5608.35,1734.9,49
2270,2019,VALARIS PLC,-469.4,1299.208,1381,227,-198,-192.2,609.7,16931.2,5975.3,145.9,9310.9,,15284.9,2053.2,13
2277,2019,BLUE RIDGE REAL ESTATE CO,-2.096,13.9553,6500,0.222,-0.744,-1.212,0.42,18.588,0.025,0.037,15.924,,15.949,4.987,65
2285,2019,BOEING CO,5952,183373.2358,3721,1834,-636,-636,1898,133625,20940,7592,-8617,3219,12640,84818,37
2312,2019,ROBERT HALF INTL INC,620.39,7269.828,7363,59.464,454.433,454.433,65.625,2311.408,202.2,71.626,1143.683,,1345.883,6074.432,73
2316,2019,HEXION INC,113,,2860,101,2805,2807,162,4146,1801,92,1075,50,2876,3374,28
2337,2019,RESOLUTE FOREST PRODUCTS INC,46,364.14,2621,113,-47,-47,167,3626,505,9,1234,,1740,2923,26
2342,2019,BOWL AMERICA INC  -CL A,3.216,82.0599,7900,0.427,3.049,3.049,0.983,28.389,0,0,23.92,,23.92,24.419,79
2352,2019,BRADY CORP,162.428,2741.5348,3990,32.825,131.258,131.258,23.799,1157.308,0,50.166,850.774,45.168,850.774,1160.645,39
2369,2019,BROOKFIELD ASSET MANAGEMENT,11409,58158.1288,6200,9974,2807,5354,4911,323969,137100,15901,35013,,253946,69111,62
2369,2019,BROOKFIELD ASSET MANAGEMENT,,58158.1288,6200,,,,4911,323969,137100,15901,35013,,268795,,62
2390,2019,BRIDGFORD FOODS CORP,8.827,223.9049,2013,25.739,6.484,6.484,4.153,123.456,12.164,2.038,66.484,,78.648,188.785,20
2393,2019,BRIGGS & STRATTON,0.459,430.6739,3510,52.454,-54.083,-54.083,59.92,1551.431,194.969,160.54,446.72,22.8,641.689,1836.605,35
2403,2019,BRISTOL-MYERS SQUIBB CO,6738,144491.69,2834,836,3439,3460,1809,129944,44059,3479,51598,6180,95757,26145,28
2408,2019,TELUS CORP,3019,30419.4,4812,2772,1746,1776,2599,37975,17142,1432,10548,,27801,14589,48
2410,2019,BP PLC,15358,,2911,15418,4026,4190,18240,295194,64892,12554,98412,364,165600,278397,29
2436,2019,CALERES INC,127.381,708.9674,3140,44.533,62.819,62.082,65.562,2431.707,827.423,402.869,645.95,,1476.553,2921.562,31
2444,2019,BRUNSWICK CORP,494.6,4772.5486,3510,232.6,-131,30.4,138.7,3564.4,1138.1,59.7,1300.9,121.6,2439,4108.4,35
2448,2019,MATERION CORP,92.309,1213.0178,3330,26.528,50.66,50.66,31.7,852.67,36.775,8.675,610.677,18.271,647.452,1185.424,33
2490,2019,BURLINGTON NORTHERN SANTA FE,8071,,4011,3608,5481,5481,2403,88574,24272,1026,43720,,67992,23515,40
2497,2019,MASTEC INC,577.962,4912.4104,1623,126.473,392.334,394.096,235.482,4997.006,1468.583,199.99,1787.22,,3260.274,7183.188,16
2504,2019,UNISYS CORP,249.4,740.064,7373,38,-17.2,-13.3,83.6,2504,649.7,83.5,-1265.4,31.3,-578.6,2931.2,73
2547,2019,CIGNA CORP,9020,76178.8642,6324,1050,5104,5120,3617,155774,32358,5680,45338,0,77737,153699,63
2547,2019,CIGNA CORP,,76178.8642,6324,,,,3617,155774,32358,5680,45338,,87124,,63
2558,2019,CNA FINANCIAL CORP,1174,12162.0165,6331,26,1000,1000,68,60612,2980,0,12215,,15195,10587,63
2558,2019,CNA FINANCIAL CORP,,12162.0165,6331,,,,68,60612,2980,,12215,,15195,,63
2573,2019,CSP INC,-0.826,55.7475,7373,0.832,-0.371,-0.371,0.416,59.369,0.984,3.134,30.428,2.8,31.412,79.061,73
2574,2019,CSX CORP,4874,55968.3616,4011,1657,3331,3331,1349,38257,16486,302,11848,,28349,11937,40
2577,2019,CTS CORP,61.4,974.4847,3670,21.733,36.146,36.146,24.619,643.354,124.626,2.787,405.219,25.967,529.845,468.999,36
2578,2019,TELOS CORP/MD,5.025,,7373,6.532,-6.401,-2.137,4.972,77.692,175.666,1.826,-141.136,4.2,39.044,159.218,73
2581,2019,CVD EQUIPMENT CORP,-4.985,21.3293,3559,2.688,-6.328,-6.328,1.043,46.723,11.377,0.675,29.958,0.598,41.335,19.647,35
2593,2019,CABOT CORP,351,2586.9109,2890,224,157,186,148,3004,1024,40,998,60,2158,3337,28
2596,2019,CACI INTL INC  -CL A,392.867,5090.1992,7373,47.902,265.604,265.604,82.2,5086.843,1618.093,46.92,2371.331,,3989.559,4986.341,73
2620,2019,MUFG AMERICAS HOLDINGS CORP,2428,,6020,0,-734,-751,,170810,14290,38189,16280,,30657,8254,60
2620,2019,MUFG AMERICAS HOLDINGS CORP,,,6020,,,,,170810,14290,38189,16280,,30657,,60
2628,2019,CALIFORNIA WATER SERVICE GP,115.692,2502.3099,4941,273.77,63.116,63.116,89.22,3111.308,799.682,198.42,779.906,,1579.588,714.557,49
2663,2019,CAMPBELL SOUP CO,1192,12443.34,2030,384,211,474,363,13148,7103,1371,1103,91,8215,8107,20
2675,2019,MAPLE LEAF FOODS INC,133.298,3181.4284,2000,270.745,74.628,74.628,182.512,3514.035,742.442,40.404,1949.87,,2692.312,3941.545,20
2696,2019,CANADIAN NATIONAL RAILWAY CO,5624,83673.881,4011,3865,4216,4216,1562,43784,12245,2052,18041,,30286,14917,40
2698,2019,CANADIAN PACIFIC RAILWAY LTD,3124,45351.11,4011,1647,2440,2440,706,22367,8443,668,7069,,15512,7792,40
2703,2019,CANADIAN TIRE CORP  -CL A,1474.1,8722.3595,5531,435.2,778.4,894.8,651.3,19518.3,5601.2,2205.4,4190.6,,11105.9,14534.4,55
2721,2019,CANON INC,1607.193,,3577,1984.491,1151.15,1283.761,2183.757,43875.839,4058.106,680.155,24775.832,2746.666,30668.003,33063.633,35
2735,2019,CAPITAL PROPERTIES INC,3.329,101.64,6519,0,2.482,2.434,0.102,8.599,0,0,6.585,0,6.585,5.113,65
2751,2019,CARDINAL HEALTH INC,1678,14082.9,5122,328,1363,1365,986,40963,7579,452,6328,,13909,145534,51
2771,2019,CARLISLE COS INC,673.6,9013.3551,2950,88.9,472.8,473.7,205.2,5496,1403.2,272.4,2642.8,60.9,4046,4811.6,29
2777,2019,GUNGNIR RESOURCES INC,-0.656,4.6269,1040,0.443,0.94,0.94,0,3.382,0,0,3.25,,3.25,0,10
2783,2019,PROGRESS ENERGY INC,2301,,4911,3952,1327,1327,1845,57694,19135,3517,15590,,34728,11202,49
2787,2019,CARPENTER TECHNOLOGY CORP,231.2,2277.6106,3312,180.3,167,167,121.5,3187.8,550.6,19.7,1520.1,23.3,2070.7,2380.2,33
2811,2019,CASTLE (A M) & CO,-8.821,6.0225,5051,4.021,-38.515,-38.515,8.759,330.326,294.491,10.021,-41.07,,253.421,559.591,50
2817,2019,CATERPILLAR INC,9624,81236.2574,3531,2669,6093,6094,2577,78453,26742,11549,14588,1693,41371,53800,35
2818,2019,CATO CORP  -CL A,37.171,389.772,5621,8.306,35.897,35.897,15.485,684.976,147.184,63.149,316.514,0,463.698,825.335,56
2829,2019,R F INDUSTRIES LTD,4.559,56.2043,3678,0.538,3.521,3.521,0.563,37.7,0,0,31.533,1.468,31.533,55.325,36
2849,2019,BBVA COMPASS BANCSHARES INC,1277.527,,6020,135.635,151.075,153.407,262.491,93603.347,3786.596,402.213,13357.133,,17173.185,4694.385,60
2849,2019,BBVA COMPASS BANCSHARES INC,,,6020,,,,262.491,93603.347,3786.596,402.213,13357.133,,17173.185,,60
2884,2019,CENTURYLINK INC,3780,14399.6662,4813,3628,-5269,-5269,4829,64742,33736,2716,13470,,47206,22401,48
2940,2019,MAGELLAN HEALTH INC,95.657,1926.7498,8741,60.402,55.902,55.902,131.509,3092.173,724.542,16.702,1397.783,0,2122.325,7159.423,87
2942,2019,CANTEL MEDICAL CORP,120.21,3854.6279,3845,95.438,55.042,55.042,42.359,1070.366,220.851,10,661.537,31.32,882.388,918.155,38
2960,2019,CHEMED CORP,271.346,7003.1222,8082,53.022,219.923,219.923,45.205,1268.317,176.656,39.28,726.608,,903.264,1938.555,80
2968,2019,JPMORGAN CHASE & CO,,429912.5274,6020,,,,8368,2687379,261720,262878,261330,,523050,,60
2968,2019,JPMORGAN CHASE & CO,63197,429912.5274,6020,0,36431,36431,8368,2687379,261720,262878,261330,,523050,142422,60
2986,2019,CHESAPEAKE UTILITIES CORP,104.836,1571.9953,4923,184.727,65.153,61.142,45.423,1783.198,450.064,294.676,561.577,,1011.641,479.604,49
2990,2019,CELSION CORP,-20.566,39.7678,2836,0.349,-16.852,-16.852,0.356,38.278,9.107,2.228,14.559,13.066,23.666,0.5,28
2991,2019,CHEVRON CORP,100,226820.0657,2911,14116,2924,2845,29218,237428,26299,4559,144213,500,171507,139865,29
2999,2019,CHICAGO RIVET & MACHINE CO,0.491,24.9201,3452,1.803,0.538,0.538,1.382,31.723,0,0,29.158,,29.158,32.873,34
3007,2019,BRINKER INTL INC,202.8,1475.625,5812,167.6,154.9,154.9,148.6,1258.3,1206.6,9.7,-778.2,0,428.4,3217.9,58
3026,2019,CHURCH & DWIGHT INC,850.5,17262.5614,2840,73.7,615.9,615.9,154.2,6657.4,1954.2,269.3,2667.8,93.6,4622,4357.7,28
3028,2019,CHURCHILL DOWNS INC,233.8,5446.84,7990,131.2,137.5,139.6,86.4,2551,1491.1,9,508.3,0,2002.1,1329.7,79
3036,2019,CINCINNATI BELL INC,92.8,527.9079,4813,223.8,-66.6,-66.6,304.9,2653.8,1975.8,34.3,-140,,1835.8,1536.7,48
3039,2019,DUKE ENERGY OHIO INC,364,,4931,952,238,239,265,9338,2640,313,3683,,6323,1940,49
3105,2019,IHEARTMEDIA INC,632.428,1090.9457,4832,112.19,11296.689,9593.289,302.457,11021.099,6552.707,86.668,2996.318,,9558.148,3683.527,48
3107,2019,CLEVELAND-CLIFFS INC,438.5,2268.7056,1000,639,292.8,294.5,84.1,3503.8,2113.8,0,357.9,,2471.7,1989.9,10
3121,2019,CLOROX CO/DE,1107,19243.7835,2842,206,820,820,180,5116,2294,398,559,136,2853,6214,28
3138,2019,COCA COLA CONSOLIDATED INC,191.331,2028.4011,2086,171.374,11.375,18.56,183.002,3126.926,1145.088,24.427,346.952,,1596.204,4826.549,20
3144,2019,COCA-COLA CO,10541,236898,2086,2054,8920,8985,1346,86381,28627,15528,18981,,49725,37266,20
3153,2019,COEUR MINING INC,-344.81,1951.5543,1040,99.772,-341.203,-346.896,190.844,1378.636,313.385,35.85,667.004,,980.389,711.502,10
3157,2019,COHERENT INC,86.458,3686.513,3826,83.283,53.825,53.825,111.685,2083.169,392.238,14.863,1284.736,117.353,1676.974,1430.64,38
3158,2019,COHU INC,-23.037,945.8758,3825,18,-69.7,-68.995,58.871,1077.71,375.395,14.549,483.072,86.147,858.467,583.329,38
3170,2019,COLGATE-PALMOLIVE CO,3759,58837.6857,2844,335,2367,2527,519,15034,7824,659,117,281,8382,15693,28
3184,2019,CCOM GROUP INC,2.642,10.5283,5070,0.469,1.308,1.308,0.319,35.869,0.352,12.504,15.85,,16.202,113.701,50
3198,2019,COLORADO INTERSTATE GAS CO,220,,4923,47,168,168,46,1595,654,7,851,,1505,371,49
3203,2019,CHASE CORP,48.46,942.1682,2891,2.488,32.711,32.711,17.207,307.968,0,0,271.227,4.021,271.227,281.351,28
3221,2019,AON PLC,2634,48344.109,6411,225,1532,1574,550,29405,7647,922,3375,,11096,11013,64
